Bedrock,Java
furnace_front_off.png,furnace_front.png
glass_black.png,black_stained_glass.png
glass_blue.png,blue_stained_glass.png
glass_brown.png,brown_stained_glass.png
glass_cyan.png,cyan_stained_glass.png
glass_gray.png,gray_stained_glass.png
glass_green.png,green_stained_glass.png
glass_light_blue.png,light_blue_stained_glass.png
glass_lime.png,lime_stained_glass.png
glass_magenta.png,magenta_stained_glass.png
glass_orange.png,orange_stained_glass.png
glass_pane_top_black.png,black_stained_glass_pane_top.png
glass_pane_top_blue.png,blue_stained_glass_pane_top.png
glass_pane_top_brown.png,brown_stained_glass_pane_top.png
glass_pane_top_cyan.png,cyan_stained_glass_pane_top.png
glass_pane_top_gray.png,gray_stained_glass_pane_top.png
glass_pane_top_green.png,green_stained_glass_pane_top.png
glass_pane_top_light_blue.png,light_blue_stained_glass_pane_top.png
glass_pane_top_lime.png,lime_stained_glass_pane_top.png
glass_pane_top_magenta.png,magenta_stained_glass_pane_top.png
glass_pane_top_orange.png,orange_stained_glass_pane_top.png
glass_pane_top_pink.png,pink_stained_glass_pane_top.png
glass_pane_top_purple.png,purple_stained_glass_pane_top.png
glass_pane_top_red.png,red_stained_glass_pane_top.png
glass_pane_top_silver.png,light_gray_stained_glass_pane_top.png
glass_pane_top_white.png,white_stained_glass_pane_top.png
glass_pane_top_yellow.png,yellow_stained_glass_pane_top.png
glass_pink.png,pink_stained_glass.png
glass_purple.png,purple_stained_glass.png
glass_red.png,red_stained_glass.png
glass_silver.png,light_gray_stained_glass.png
glass_white.png,white_stained_glass.png
glass_yellow.png,yellow_stained_glass.png
glazed_terracotta_black.png,black_glazed_terracotta.png
glazed_terracotta_blue.png,blue_glazed_terracotta.png
glazed_terracotta_brown.png,brown_glazed_terracotta.png
glazed_terracotta_cyan.png,cyan_glazed_terracotta.png
glazed_terracotta_gray.png,gray_glazed_terracotta.png
glazed_terracotta_green.png,green_glazed_terracotta.png
glazed_terracotta_light_blue.png,light_blue_glazed_terracotta.png
glazed_terracotta_lime.png,lime_glazed_terracotta.png
glazed_terracotta_magenta.png,magenta_glazed_terracotta.png
glazed_terracotta_orange.png,orange_glazed_terracotta.png
glazed_terracotta_pink.png,pink_glazed_terracotta.png
glazed_terracotta_purple.png,purple_glazed_terracotta.png
glazed_terracotta_red.png,red_glazed_terracotta.png
glazed_terracotta_silver.png,light_gray_glazed_terracotta.png
glazed_terracotta_white.png,white_glazed_terracotta.png
glazed_terracotta_yellow.png,yellow_glazed_terracotta.png
grass_side.tga,grass_block_side_overlay.png
grass_side_carried.png,grass_block_side.png
grass_side_snowed.png,grass_block_snow.png
grass_top.png,grass_block_top.png
grindstone_pivot.tga,grindstone_pivot.png
grindstone_round.tga,grindstone_round.png
grindstone_side.tga,grindstone_side.png
hardened_clay.png,terracotta.png
hardened_clay_stained_black.png,black_terracotta.png
hardened_clay_stained_blue.png,blue_terracotta.png
hardened_clay_stained_brown.png,brown_terracotta.png
hardened_clay_stained_cyan.png,cyan_terracotta.png
hardened_clay_stained_gray.png,gray_terracotta.png
hardened_clay_stained_green.png,green_terracotta.png
hardened_clay_stained_light_blue.png,light_blue_terracotta.png
hardened_clay_stained_lime.png,lime_terracotta.png
hardened_clay_stained_magenta.png,magenta_terracotta.png
hardened_clay_stained_orange.png,orange_terracotta.png
hardened_clay_stained_pink.png,pink_terracotta.png
hardened_clay_stained_purple.png,purple_terracotta.png
hardened_clay_stained_red.png,red_terracotta.png
hardened_clay_stained_silver.png,light_gray_terracotta.png
hardened_clay_stained_white.png,white_terracotta.png
hardened_clay_stained_yellow.png,yellow_terracotta.png
honeycomb.png,honeycomb_block.png
honey_bottom.png,honey_block_bottom.png
honey_side.png,honey_block_side.png
honey_top.png,honey_block_top.png
ice_packed.png,packed_ice.png
itemframe_background.png,item_frame.png
jigsaw_back.png,jigsaw_bottom.png
jigsaw_front.png,jigsaw_top.png
kelp_a.tga,kelp_plant.png
kelp_top.tga,kelp.png
leaves_acacia.tga,acacia_leaves.png
leaves_big_oak.tga,dark_oak_leaves.png
leaves_birch.tga,birch_leaves.png
leaves_jungle.tga,jungle_leaves.png
leaves_oak.tga,oak_leaves.png
leaves_spruce.tga,spruce_leaves.png
log_acacia.png,acacia_log.png
log_acacia_top.png,acacia_log_top.png
log_big_oak.png,dark_oak_log.png
log_big_oak_top.png,dark_oak_log_top.png
log_birch.png,birch_log.png
log_birch_top.png,birch_log_top.png
log_jungle.png,jungle_log.png
log_jungle_top.png,jungle_log_top.png
log_oak.png,oak_log.png
log_oak_top.png,oak_log_top.png
log_spruce.png,spruce_log.png
log_spruce_top.png,spruce_log_top.png
melon_stem_connected.png,attached_melon_stem.png
melon_stem_disconnected.png,melon_stem.png
mob_spawner.png,spawner.png
mushroom_block_skin_brown.png,brown_mushroom_block.png
mushroom_block_skin_red.png,red_mushroom_block.png
mushroom_block_skin_stem.png,mushroom_stem.png
mushroom_brown.png,brown_mushroom.png
mushroom_red.png,red_mushroom.png
nether_brick.png,nether_bricks.png
nether_wart_stage_0.png,nether_wart_stage0.png
nether_wart_stage_1.png,nether_wart_stage1.png
nether_wart_stage_2.png,nether_wart_stage2.png
noteblock.png,note_block.png
observer_back_lit.png,observer_back_on.png
piston_top_normal.png,piston_top.png
planks_acacia.png,acacia_planks.png
planks_big_oak.png,dark_oak_planks.png
planks_birch.png,birch_planks.png
planks_jungle.png,jungle_planks.png
planks_oak.png,oak_planks.png
planks_spruce.png,spruce_planks.png
portal.png,nether_portal.png
potatoes_stage_0.png,potatoes_stage0.png
potatoes_stage_1.png,potatoes_stage1.png
potatoes_stage_2.png,potatoes_stage2.png
potatoes_stage_3.png,potatoes_stage3.png
prismarine_dark.png,dark_prismarine.png
prismarine_rough.png,prismarine.png
pumpkin_face_off.png,carved_pumpkin.png
pumpkin_face_on.png,jack_o_lantern.png
pumpkin_stem_connected.png,attached_pumpkin_stem.png
pumpkin_stem_disconnected.png,pumpkin_stem.png
quartz_block_chiseled.png,chiseled_quartz_block.png
quartz_block_chiseled_top.png,chiseled_quartz_block_top.png
quartz_block_lines.png,quartz_pillar.png
quartz_block_lines_top.png,quartz_pillar_top.png
quartz_ore.png,nether_quartz_ore.png
rail_activator.png,activator_rail.png
rail_activator_powered.png,activator_rail_on.png
rail_detector.png,detector_rail.png
rail_detector_powered.png,detector_rail_on.png
rail_golden.png,powered_rail.png
rail_golden_powered.png,powered_rail_on.png
rail_normal.png,rail.png
rail_normal_turned.png,rail_corner.png
redstone_dust_cross.png,redstone_dust_dot.png
redstone_dust_line.png,redstone_dust_line0.png
redstone_lamp_off.png,redstone_lamp.png
redstone_torch_on.png,redstone_torch.png
red_nether_brick.png,red_nether_bricks.png
red_sandstone_carved.png,chiseled_red_sandstone.png
red_sandstone_normal.png,red_sandstone.png
red_sandstone_smooth.png,cut_red_sandstone.png
reeds.tga,sugar_cane.png
repeater_off.png,repeater.png
sandstone_carved.png,chiseled_sandstone.png
sandstone_normal.png,sandstone.png
sandstone_smooth.png,cut_sandstone.png
sapling_acacia.png,acacia_sapling.png
sapling_birch.png,birch_sapling.png
sapling_jungle.png,jungle_sapling.png
sapling_oak.png,oak_sapling.png
sapling_roofed_oak.png,dark_oak_sapling.png
sapling_spruce.png,spruce_sapling.png
scaffolding_bottom.tga,scaffolding_bottom.png
scaffolding_side.tga,scaffolding_side.png
scaffolding_top.tga,scaffolding_top.png
seagrass_doubletall_bottom_a.tga,tall_seagrass_bottom.png
seagrass_doubletall_top_a.tga,tall_seagrass_top.png
shulker_top_black.png,black_shulker_box.png
shulker_top_blue.png,blue_shulker_box.png
shulker_top_brown.png,brown_shulker_box.png
shulker_top_cyan.png,cyan_shulker_box.png
shulker_top_gray.png,gray_shulker_box.png
shulker_top_green.png,green_shulker_box.png
shulker_top_light_blue.png,light_blue_shulker_box.png
shulker_top_lime.png,lime_shulker_box.png
shulker_top_magenta.png,magenta_shulker_box.png
shulker_top_orange.png,orange_shulker_box.png
shulker_top_pink.png,pink_shulker_box.png
shulker_top_purple.png,purple_shulker_box.png
shulker_top_red.png,red_shulker_box.png
shulker_top_silver.png,light_gray_shulker_box.png
shulker_top_undyed.png,shulker_box.png
shulker_top_white.png,white_shulker_box.png
shulker_top_yellow.png,yellow_shulker_box.png
slime.png,slime_block.png
smoker_front_off.png,smoker_front.png
sponge_wet.png,wet_sponge.png
stonebrick.png,stone_bricks.png
stonebrick_carved.png,chiseled_stone_bricks.png
stonebrick_cracked.png,cracked_stone_bricks.png
stonebrick_mossy.png,mossy_stone_bricks.png
stonecutter2_bottom.png,stonecutter_bottom.png
stonecutter2_saw.tga,stonecutter_saw.png
stonecutter2_side.png,stonecutter_side.png
stonecutter2_top.png,stonecutter_top.png
stone_andesite.png,andesite.png
stone_andesite_smooth.png,polished_andesite.png
stone_diorite.png,diorite.png
stone_diorite_smooth.png,polished_diorite.png
stone_granite.png,granite.png
stone_granite_smooth.png,polished_granite.png
stone_slab_side.png,smooth_stone_slab_side.png
stone_slab_top.png,smooth_stone.png
tallgrass.png,grass.png
torch_on.png,torch.png
trapdoor.png,oak_trapdoor.png
trip_wire.png,tripwire.png
trip_wire_source.png,tripwire_hook.png
turtle_egg_not_cracked.png,turtle_egg.png
waterlily.png,lily_pad.png
water_flow_grey.png,water_flow.png
water_still_grey.png,water_still.png
web.png,cobweb.png
wheat_stage_0.png,wheat_stage0.png
wheat_stage_1.png,wheat_stage1.png
wheat_stage_2.png,wheat_stage2.png
wheat_stage_3.png,wheat_stage3.png
wheat_stage_4.png,wheat_stage4.png
wheat_stage_5.png,wheat_stage5.png
wheat_stage_6.png,wheat_stage6.png
wheat_stage_7.png,wheat_stage7.png
wool_colored_black.png,black_wool.png
wool_colored_blue.png,blue_wool.png
wool_colored_brown.png,brown_wool.png
wool_colored_cyan.png,cyan_wool.png
wool_colored_gray.png,gray_wool.png
wool_colored_green.png,green_wool.png
wool_colored_light_blue.png,light_blue_wool.png
wool_colored_lime.png,lime_wool.png
wool_colored_magenta.png,magenta_wool.png
wool_colored_orange.png,orange_wool.png
wool_colored_pink.png,pink_wool.png
wool_colored_purple.png,purple_wool.png
wool_colored_red.png,red_wool.png
wool_colored_silver.png,light_gray_wool.png
wool_colored_white.png,white_wool.png
wool_colored_yellow.png,yellow_wool.png
